USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.5  0.9  26432 15860 ?        Ss   12:08   0:37 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root         437  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_21]
root         438  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_22]
root         439  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_22]
root         440  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_23]
root         441  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_23]
root         442  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_24]
root         443  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_24]
root         444  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_25]
root         445  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_25]
root         446  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_26]
root         447  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_26]
root         448  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_27]
root         449  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_27]
root         450  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_28]
root         451  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_28]
root         452  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_29]
root         453  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_29]
root         454  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_30]
root         455  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_30]
root         456  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_31]
root         457  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_31]
root         458  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_32]
root         459  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_32]
root         486  0.0  0.0      0     0 ?        I    12:08   0:00 [kworker/u513:29-flush-8:0]
root         489  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/3:1H-kblockd]
root         490  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/2:1H-kblockd]
root         500  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/1:1H-kblockd]
root         521  0.0  0.0      0     0 ?        S    12:08   0:01 [jbd2/sda2-8]
root         522  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-ext4-rsv-conversion]
root         698  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/62-vmw_vmci]
root         699  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/63-vmw_vmci]
root         700  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/64-vmw_vmci]
root         738  0.1  1.0  50912 17676 ?        S<s  12:08   0:04 /usr/lib/systemd/systemd-journald
systemd+     781  0.3  0.3  16804  6912 ?        Ss   12:08   0:08 /usr/lib/systemd/systemd-oomd
systemd+     782  0.0  0.6  22652 11712 ?        Ss   12:08   0:00 /usr/lib/systemd/systemd-resolved
root         791  0.1  0.6  43500 10696 ?        Ss   12:08   0:04 /usr/lib/systemd/systemd-udevd
root         951  0.0  0.0      0     0 ?        S    12:08   0:00 [psimon]
avahi       1121  0.0  0.2   6740  4552 ?        Ss   12:08   0:00 avahi-daemon: running [atharva-VMware-Virtual-Platform.local]
root        1122  0.0  0.1   2888  1872 ?        Ss   12:08   0:00 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
message+    1123  0.1  0.4  11888  7732 ?        Ss   12:08   0:04 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1132  0.0  0.5  58108  9228 ?        Ss   12:08   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd     1134  0.1  0.6 398028 11996 ?        Ssl  12:08   0:03 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
