USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  2.1  0.9  26040 17036 ?        Ss   17:28   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root         245  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u516:2-events_unbound]
root         248  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/1:3-events]
root         384  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-mpt_poll_0]
root         385  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-mpt/0]
root         386  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_2]
root         387  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_2]
root         388  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_3]
root         389  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_3]
root         390  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_4]
root         391  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_4]
root         392  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_5]
root         393  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_5]
root         394  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_6]
root         395  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_6]
root         396  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_7]
root         397  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_7]
root         398  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_8]
root         399  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_8]
root         400  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_9]
root         401  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_9]
root         402  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_10]
root         403  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_10]
root         404  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_11]
root         405  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_11]
root         406  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_12]
root         407  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_12]
root         408  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_13]
root         409  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_13]
root         410  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_14]
root         411  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_14]
root         412  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_15]
root         413  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_15]
root         414  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_16]
root         415  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_16]
root         416  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_17]
root         417  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_17]
root         418  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_18]
root         419  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_18]
root         420  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_19]
root         421  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_19]
root         422  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_20]
root         423  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_20]
root         424  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_21]
root         425  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_21]
root         426  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_22]
root         427  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_22]
root         428  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_23]
root         429  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_23]
